Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
531364,BSE,Ekansh Concepts Limited,EKANSH,Ekansh Concepts Ltd,Active,X ,10,INE005E01013,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services
531370,BSE,SPARC ELECTREX LIMITED,SPAR,Sparc Electrex Ltd,Active,X ,10,INE960B01015,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
531373,BSE,The Byke Hospitality    Ltd,THEBYKE,THE BYKE HOSPITALITY LTD.,Active,B ,10,INE319B01014,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
531380,BSE,Centenial Surgical Suture Ltd.,CSURGSU,CENTENIAL SURGICAL SUTURE LTD.,Active,X ,10,INE405H01018,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
531381,BSE,Arihant Foundations & Housing Ltd.,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$,Active,X ,10,INE413D01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531387,BSE,Hasti Finance Ltd.,HASTIFIN,HASTI FINANCE LTD.,Active,X ,10,INE671D01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531390,BSE,Upsurge Investment And Finance Ltd.,UPSURGE,UPSURGE INVESTMENT & FINANCE LTD.,Active,X ,10,INE890B01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531395,BSE,Padam Cotton Yarns Ltd.,PADAMCO,PADAM COTTON YARNS LTD.,Active,XT,10,INE448D01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531396,BSE,Women Networks Ltd.,WOMENNET,WOMEN NETWORKS LTD.,Active,X ,10,INE905B01010,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
531397,BSE,Polycon International Ltd.,POLYCON,POLYCON INTERNATIONAL LTD.,Active,X ,10,INE262C01014,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
531398,BSE,Source Natural Foods & Herbal Suppl Ltd,SOURCENTRL,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,Active,XT,10,INE679C01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
531399,BSE,G.G.Automotive Gears Ltd.,GGAUTO,G.G.AUTOMOTIVE GEARS LTD.,Active,XT,10,INE493B01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
531400,BSE,Almondz Global Securities Limited,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,Active,B ,6,INE326B01027,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
531402,BSE,LWS Knitwear Ltd,LWSKNIT,LWS KNITWEAR LTD.,Active,XT,10,INE281M01013,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
531406,BSE,ANS Limited,ANSINDUS,ANS Industries Ltd,Active,XT,10,INE234J01018,Other Beverages,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages
531411,BSE,Tuni Textile Mills Ltd.,TUNITEX,TUNI TEXTILE MILLS LTD.,Active,X ,1,INE560D01027,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531412,BSE,Radix Industries (India) Limited,RADIXIND,Radix Industries (India) Limited,Active,XT,10,INE576N01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
531413,BSE,Kiran Print-Pack Ltd.,KIRANPR,KIRAN PRINT-PACK LTD.,Active,X ,10,INE516D01011,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
531416,BSE,Narendra Properties Ltd.,NARPROP,NARENDRA PROPERTIES LTD.,Active,X ,10,INE603F01012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531417,BSE,Mega Corporation Ltd,MEGACOR,MEGA CORPORATION LTD.,Active,X ,1,INE804B01023,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531426,BSE,Tamil Nadu Newsprint And Papers Ltd,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,Active,B ,10,INE107A01015,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
531431,BSE,Shakti Pumps (India) Ltd.,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,Active,B ,10,INE908D01010,Compressors & Pumps,Equity,Industrials,Capital Goods,Industrial Products,Compressors & Pumps
531432,BSE,Systematix Securities Ltd.,SYTIXSE,SYSTEMATIX SECURITIES LTD.,Active,X ,10,INE07P301011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
